Participant	Albania	Andorra	Armenia	Azerbaijan	Belarus	Belgium	Bosnia & Herzegovina	Bulgaria	Croatia	Cyprus	Czech Republic	Denmark	Estonia	F.Y.R. Macedonia	Finland	France	Germany	Greece	Hungary	Iceland	Ireland	Israel	Latvia	Lithuania	Malta	Moldova	Montenegro	Norway	Poland	Portugal	Romania	Russia	Serbia	Slovakia	Slovenia	Spain	Sweden	Switzerland	The Netherlands	Turkey	Ukraine	United Kingdom	Points	Place
Lithuania				1				1				1	2								7		7																			4	23	23
Israel		7				8	8				4		5			10											4							5				1			1		53	16
France	2	3	6		7	1	6					2			4		3	6		6	3	5	5	6			1	1				10	3		7	3		7	6		3	1	107	8
Sweden	1	2										4	6		7	2				3					4			4															33	21
Croatia				5			12							4				2		1						2	8						5		6								45	18
Portugal		6				6	1				7		3			7				7														2		8		10					57	15
Iceland	6	8	5		2			5	2	5	2	10	8	2	10		7	4	7		12	10	8	8	12	3	5	12	1	8	10	3		6	5		10	5	7	2		8	218	2
Greece	12		10		5	5	5	12	7	12							6		4						7		2				8	4	6		4	1	2	2	1			5	120	7
Armenia					1	7		6		4	12			1	1	6				5		8							2	4	7	5		3		4	3		5	6	2		92	10
Russia			12	6	8					1	8		10				5					7	6	7		6			3											4	8		91	11
Azerbaijan	4		1		10	3	3	8	10	8	10	8	7	3	2	1		8	10			6	4	5	1	10	6	10	6		4	7	4	4	1		8		10	12	10	3	207	3
Bosnia & Herzegovina	5			2				4	12					10	6		2			2							12						12	8	10		5	4	4	8			106	9
Moldova			2	7		4			3													1						3	5	12	12	1				5				7	7		69	14
Malta		1													3		4				5		1	1							3		7									6	31	22
Estonia				4	4				6	3		5			12		1	5	6	10	6		10	10		7			8		1	8		12			7				4		129	6
Denmark		5								6						5			3	4	4		3	2	6	5		8	7		2		1		8						5		74	13
Germany	3					2	2					7				3					1							6		1									2	1		7	35	20
Turkey	10		4	12		12	7	10	1		1	6		12	5	12	10	3	5			3			5		3	7		3	6					2	6	12	8			12	177	4
Albania									5				1	7				7	2								7								2		1	6		10			48	17
Norway	7	10	8	8	12	10	10	2	8	10	3	12	12	8	8	8	12	10	12	12	8	12	12	12	8	8	10		12	5	5	12	10	10	12	12	12	8	12	3	12	10	387	1
Ukraine			3	10	6						5								8			2		4	2	4		5	10	6		2		1		6						2	76	12
Romania				3						2				5							2					12				2			2			7				5			40	19
United Kingdom	8	4	7		3		4	7	4	7	6	3		6		4	8	12	1		10	4	2	3	10	1		2	4	10		6	8	7	3	10			3		6		173	5
Finland								3					4							8					3												4						22	25
Spain		12																1												7								3					23	24
