Participant	Albania	Andorra	Armenia	Belarus	Belgium	Bosnia & Herzegovina	Bulgaria	Croatia	Cyprus	Denmark	Estonia	F.Y.R. Macedonia	Finland	France	Germany	Greece	Iceland	Ireland	Israel	Latvia	Lithuania	Malta	Moldova	Monaco	Norway	Poland	Portugal	Romania	Russia	Serbia & Montenegro	Slovenia	Spain	Sweden	Switzerland	The Netherlands	Turkey	Ukraine	United Kingdom	Points	Place
Switzerland						4			3										4			12		6			1												30	16
Moldova																1											3	12	3			2				1			22	20
Israel														4																									4	23
Latvia											3							4			8			8					1								4	2	30	16
Norway			1	1						1			5			2	4			6			3	1					7				2				3		36	14
Spain	6	12																																					18	21
Malta	1																																						1	24
Germany	5				1					3								3		3					1							5		7	3			5	36	14
Denmark											1		3				8								6								8						26	18
Russia	4	6	12	12	3	6	10	7	8	2	10	8	12	2	6	8	5	5	12	12	12	5	10		3	10	7	8		5	4	7	7		2	5	12	1	248	2
F.Y.R. Macedonia	3		7			8	6	8																						8	6			4		6			56	12
Romania	2	3	4	3	2	2	2	5	10	6	4	2	6	7	5	7	2	6	10	2	1	10	12		4	3	10		4	4	5	12	6	1		3	1	6	172	4
Bosnia & Herzegovina	12		5	4	6		7	12	2	8		12	10	6	7	6	3	2	2		4		5	12	8	4	2	7	6	12	12	1	10	12	8	12	10		229	3
Lithuania		7		6	4		1	6	4	7	8	3	8		1	4	10	12	3	10		1	4	7	5	8	4		5	3	3	4	3		6		5	10	162	6
United Kingdom		2						1	1	4	2							8		1		3			2	1													25	19
Greece	8	1	8	2	10	1	12		12			7	1	5	8						3	8	1					10		6			4	5	5	4		7	128	9
Finland		10		7	8	7	5	10	5	12	12	6		8	10	12	12	10	7	8	10	7	6		12	12	6	4	8	7	8	10	12	8	7	7	7	12	292	1
Ukraine		5	10	10		5	3	4	6		5	5	2			5	6	1	6	5	7	2	8	2		6	12	3	10	2	2	3	1		1	8			145	7
France			2																					3															5	22
Croatia						12						10			2									4						10	10			6		2			56	12
Ireland		4	3					2		5	6		4	1	4		1			4	6	4		10	7	2	5	2			1		5	3	4		2	8	93	10
Sweden	10	8	6	5	5	3		3		10	7	1	7	3			7	7	5	7	5	6	2	5	10	7	8	5	2	1	7	6		2			6	4	170	5
Turkey	7				7	10	4					4		12	12	3			1									6						10	12			3	91	11
Armenia				8	12		8		7					10	3	10			8		2		7			5		1	12			8			10	10	8		129	8
