Participant	Albania	Andorra	Austria	Belarus	Belgium	Bosnia & Herzegovina	Bulgaria	Croatia	Cyprus	Denmark	Estonia	F.Y.R. Macedonia	Finland	France	Germany	Greece	Hungary	Iceland	Ireland	Israel	Latvia	Lithuania	Malta	Moldova	Monaco	Norway	Poland	Portugal	Romania	Russia	Serbia & Montenegro	Slovenia	Spain	Sweden	Switzerland	The Netherlands	Turkey	Ukraine	United Kingdom	Points	Place
Hungary		6		2	2	1	5	6	7		3	1		3		2		6		8	3						10	2	8	3	6		5				6	2		97	12
United Kingdom									5										8				4														1			18	22
Malta	4		5	5	8			4	6	10	4		8	7	8	8	5	4	10	10	5	2			5	10			2	12		1	7	6	3	5	8	10	10	192	2
Romania	5	7	6	1	7	2	8		8	3		2		5		5	10	5	5	12			7	7	4	6	7	12			3		12	2		3	4			158	3
Norway		2		4	3	3	1		3	12	8		12			4		12	4	1	6	5	5	3			8				2	4	3	8		1		6	5	125	9
Turkey	8		7		10	8	3			8		4		12	10														3						6	12			1	92	13
Moldova			2	7	1	4	6	1	2		6	5		2	1	7	4	8		4	8	10	2				3	10	12	10	5	3	4				7	12	2	148	6
Albania			3			5		2				12		1		10															8				10		2			53	16
Cyprus	7						10									12							12						1		1								3	46	18
Spain		12												4														8							4					28	21
Israel	3	8	1	8	6					5	1		5	10	5		8		6		2	3	8	6	12	5		5	7	8			6	1	1	7	3	7	7	154	4
Serbia & Montenegro	6		12	3		10	4	12	10			10		6	3	6	2				1			1	6				6	6		10		4	12	4		3		137	7
Denmark		3			4						5		2		6		6	10	7	3	4	4	3		10	12	5	1	4				10	10		8			8	125	9
Sweden										7		6	6											5	3	1							2							30	19
F.Y.R. Macedonia	10					7	7	8																	1						7	5			2		5			52	17
Ukraine																								8			12	7		2			1							30	19
Germany																								2	2															4	24
Croatia	2		8			12	2				2	8	1		2		7	1			7	6			7	2	2		5	1	10	12			8	2		8		115	11
Greece	12	4	4		12	6	12	5	12	2		7	3	8	12		12	2	2	7		1	6	4		4	1	3	10	4	12	2	8	12	7	10	12		12	230	1
Russia				12							7		7								10	7		10														4		57	15
Bosnia & Herzegovina			10					10		4		3							1							7					4	8		7	5	6	10		4	79	14
Switzerland		1		10				3	4	1	12		10		4	3	3	7	3	2	12	8	1		8	3	6	4		7		6		5				5		128	8
Latvia		10		6	5			7	1	6	10		4		7	1	1	3	12	6		12	10	12		8	4	6		5		7		3				1	6	153	5
France	1	5																		5																				11	23
