Participant	Albania	Austria	Azerbaijan	Belarus	Belgium	Bosnia & Herzegovina	Bulgaria	Croatia	Cyprus	Denmark	Estonia	F.Y.R. Macedonia	Finland	France	Georgia	Germany	Greece	Hungary	Iceland	Ireland	Israel	Italy	Latvia	Lithuania	Malta	Moldova	Montenegro	Norway	Portugal	Romania	Russia	San Marino	Serbia	Slovakia	Slovenia	Spain	Sweden	Switzerland	The Netherlands	Turkey	Ukraine	United Kingdom	Points	Place
United Kingdom					1						5									4			2																				12	25
Hungary																										1				7			2	8						1			19	24
Albania		8			10	6	4	5	4	5		12	6		3	6	10	8				12	1		1		10			1		12	1		3		1	12		5			146	5
Lithuania			4	8			5				3			3	12					7			4		4		1	6			5								1			7	70	14
Bosnia & Herzegovina		7						10				7															6						5	2	7			1		10			55	18
Russia	3	5	10	12	8	3	6	6	5	8	8	4	8	4	5	7	4	7	7	6	7	10	10	6	3	6	4	8	8	4		10	7	3	8	8	7		4	7	10	3	259	2
Iceland									1	6	6		7			3		6										5						4	4	4							46	20
Cyprus	6		2														12		8		3	5								2	2		8			5	12						65	16
France		2				2													6				3														2	6					21	22
Italy	7							2	2	3	7	5		1	4	2	3	5		2	4			4	10	5	2	4	2			7		5	5	1		5			4		101	9
Estonia				4									10	10		4			10	8			8	8		2		7	7		6			10		6	8		7		1	4	120	6
Norway																			1																		3		3				7	26
Azerbaijan	4			7		7	10		8			2			10		5			1	8			12	12	10	5				10	4	3	6						12	12	2	150	4
Romania			6		3				3	1				2			7			5	6	7				12			4		1					10				4			71	12
Denmark											2		5			5			5			2						2															21	23
Greece	12		5		2	1	1		12						1	1					2					4				8	3		4							3	5		64	17
Sweden	5	12	7	6	12	8	8	7	10	12	12	6	12	12	8	12	6	12	12	12	12		12	10	6	7	7	12	3	10	12	3	10	12	10	12		7	12	6	6	12	372	1
Turkey	10	3	12		7	4	7			2		8		5	7	8		3			1			1	8					3		5					6	3	8			1	112	7
Spain		6			6	5	3		6		4		3	6				1	2		10								12	6		1					4	8	6			8	97	10
Germany	2	4						4		10	10		1	7	2			10		10		8	7	3	2			3	10						2	3		4	2			6	110	8
Malta			8	3								1												7								2	6							2	7	5	41	21
F.Y.R. Macedonia	8			2		12	2	8														1					8						12	1	6					8	3		71	13
Ireland			1	1	4			3		4			4						4				5														5		5			10	46	19
Serbia	1	10			5	10	12	12	7			10	2	8		10	8	4	3			6		5	5	3	12	10	5	5	4	6		7	12		10	10	10		2		214	3
Ukraine			3	10							1	3			6		1			3		3	6	2	7	8		1	1		8					2							65	15
Moldova		1		5				1		7							2	2			5	4					3		6	12	7	8			1	7		2			8		81	11
